DATE;HOUR;FACT
13.03.2015;2;78,36
13.03.2015;3;309,6
13.03.2015;4;84,96
13.03.2015;5;71,04
13.03.2015;6;137,4
13.03.2015;7;93,42
13.03.2015;8;543,72
13.03.2015;9;241,56
13.03.2015;10;264,96
13.03.2015;11;194,22
13.03.2015;12;241,2
13.03.2015;13;331,92
13.03.2015;14;252,66
13.03.2015;15;329,88
13.03.2015;16;101,4
13.03.2015;17;174,18
13.03.2015;18;264,9
13.03.2015;19;229,44
13.03.2015;20;291,9
13.03.2015;21;163,8
13.03.2015;22;135,3
13.03.2015;23;83,1
14.03.2015;0;316,8
14.03.2015;1;299,22
14.03.2015;2;156,06
14.03.2015;3;276,66
14.03.2015;4;167,46
14.03.2015;5;298,74
14.03.2015;6;214,5
14.03.2015;7;214,86
14.03.2015;8;211,98
14.03.2015;9;170,34
14.03.2015;10;12
14.03.2015;11;337,98
14.03.2015;12;149,28
14.03.2015;13;171,36
14.03.2015;14;186,72
14.03.2015;15;116,46
14.03.2015;16;106,8
14.03.2015;17;123,54
14.03.2015;18;147,54
14.03.2015;19;96,12
14.03.2015;20;399,84
14.03.2015;21;310,98
14.03.2015;22;304,32
14.03.2015;23;140,64
15.03.2015;0;256,02
15.03.2015;1;106,02
15.03.2015;2;414,48
15.03.2015;3;93,72
15.03.2015;4;435,3
15.03.2015;5;392,1
15.03.2015;6;126,36
15.03.2015;7;204,96
15.03.2015;8;243,36
15.03.2015;9;74,58
15.03.2015;10;117,96
15.03.2015;11;71,34
15.03.2015;12;25,5
15.03.2015;13;136,56
15.03.2015;14;222,9
15.03.2015;15;58,2
15.03.2015;16;67,02
15.03.2015;17;28,98
15.03.2015;18;62,28
15.03.2015;19;33,24
15.03.2015;20;159,06
15.03.2015;21;183,6
15.03.2015;22;72,3
15.03.2015;23;38,22
16.03.2015;0;167,88
16.03.2015;1;148,26
16.03.2015;2;176,4
16.03.2015;3;174,24
16.03.2015;4;216
16.03.2015;5;256,38
16.03.2015;6;111,72
16.03.2015;7;190,98
16.03.2015;8;199,38
16.03.2015;9;129,96
16.03.2015;10;217,38
16.03.2015;11;161,58
16.03.2015;12;197,94
16.03.2015;13;207,42
16.03.2015;14;207,24
16.03.2015;15;141,36
16.03.2015;16;272,76
16.03.2015;17;150
16.03.2015;18;192,96
16.03.2015;19;181,14
16.03.2015;20;178,98
16.03.2015;21;57,3
16.03.2015;22;127,32
