Дата;Местное время Тверь;Потребление факт, МВтч;DATE;HOUR;FACT
27.01.2016;18:00-19:00;821;27.01.2016;18;821
27.01.2016;19:00-20:00;808;27.01.2016;19;808
27.01.2016;20:00-21:00;788;27.01.2016;20;788
27.01.2016;21:00-22:00;760;27.01.2016;21;760
27.01.2016;22:00-23:00;710;27.01.2016;22;710
27.01.2016;23:00-24:00;659;27.01.2016;23;659
28.01.2016;00:00-01:00;618;28.01.2016;0;618
28.01.2016;01:00-02:00;592;28.01.2016;1;592
28.01.2016;02:00-03:00;580;28.01.2016;2;580
28.01.2016;03:00-04:00;575;28.01.2016;3;575
28.01.2016;04:00-05:00;577;28.01.2016;4;577
28.01.2016;05:00-06:00;596;28.01.2016;5;596
28.01.2016;06:00-07:00;641;28.01.2016;6;641
28.01.2016;07:00-08:00;710;28.01.2016;7;710
28.01.2016;08:00-09:00;760;28.01.2016;8;760
28.01.2016;09:00-10:00;781;28.01.2016;9;781
