date;fact
24.12.2017;2,527
24.12.2017;2,864
24.12.2017;272,262
24.12.2017;260,821
24.12.2017;260,536
24.12.2017;262,034
24.12.2017;262,382
24.12.2017;263,262
24.12.2017;258,777
24.12.2017;264,042
24.12.2017;260,262
24.12.2017;260,813
24.12.2017;261,980
24.12.2017;262,690
24.12.2017;261,765
24.12.2017;262,188
24.12.2017;266,199
24.12.2017;259,756
24.12.2017;260,338
24.12.2017;262,789
24.12.2017;265,196
24.12.2017;262,730
24.12.2017;265,151
24.12.2017;261,071
24.12.2017;263,244
24.12.2017;263,075
24.12.2017;262,893
24.12.2017;521,577
24.12.2017;262,785
24.12.2017;264,352
24.12.2017;264,576
24.12.2017;263,205
24.12.2017;262,552
24.12.2017;263,269
24.12.2017;263,011
24.12.2017;264,949
24.12.2017;264,439
24.12.2017;266,249
24.12.2017;263,590
24.12.2017;264,963
24.12.2017;263,632
24.12.2017;263,277
24.12.2017;266,760
24.12.2017;263,584
24.12.2017;263,380
24.12.2017;265,887
24.12.2017;264,583
24.12.2017;264,065
24.12.2017;265,233
24.12.2017;264,188
24.12.2017;269,781
24.12.2017;252,605
24.12.2017;268,688
